,SDM_TRACES
237,TRACE_MBOX_CMD_UIB_SOFTADJSECTOR
238,TRACE_MBOX_CMD_UIB_DAUGHTERDIEINFO
239,TRACE_MBOX_CMD_SETUP_CVP_PATH
240,TRACE_MBOX_CMD_READ_CVP_DATA
241,TRACE_MBOX_CMD_CLEAR_CVP_PATH
242,TRACE_MBOX_CMD_ESRAM_REDUNDANCY
243,TRACE_MBOX_CMD_ESRAM_READ_BEADBUS
244,TRACE_MBOX_CMD_ESRAM_BEADBUS_USERMODE
245,TRACE_MBOX_CMD_ACTIVATE_HPS_TEST
246,TRACE_MBOX_CMD_ENABLE_HPS_WB
247,TRACE_MBOX_CMD_SCR_MISCCTRL_DISABLE_HPS_BSC
248,TRACE_MBOX_CMD_IOSSM_FREEZE
249,TRACE_MBOX_CMD_IOSSM_UNFREEZE
250,TRACE_MBOX_CMD_FREEZE_DRIVE
251,TRACE_MBOX_CMD_FREEZE_LOGIC
252,TRACE_MBOX_CMD_STATUSIO_SETUP
253,TRACE_MBOX_CMD_LOANIO_SETUP
254,TRACE_MBOX_CMD_CONFIG_IO
255,TRACE_MBOX_CMD_WRITE_MEMORY_MAP_REGISTER
256,TRACE_MBOX_CMD_READ_MEMORY_MAP_REGISTER
257,TRACE_MBOX_CMD_TRNG_START
258,TRACE_MBOX_CMD_TRNG_STOP
259,TRACE_MBOX_CMD_TRNG_OUT_EN
260,TRACE_MBOX_CMD_TRNG_STUCK_CHECK
261,TRACE_MBOX_CMD_TRNG_CAPTURE
262,TRACE_MBOX_CMD_LSM_RAM_REPAIR
263,TRACE_MBOX_CMD_LSM_REDUNDANCY
264,TRACE_MBOX_CMD_MEMREPAIR_LOAD
265,TRACE_MBOX_CMD_MEMCONFIG_LOAD
266,TRACE_MBOX_CMD_SOFTREDUNDANCY
267,TRACE_MBOX_CMD_CNOC_PATH_SETTING
268,TRACE_MBOX_CMD_CNOC_RETURN_PREBUF_SETUP
269,TRACE_MBOX_CMD_CNOC_RETURN_SETUP
270,TRACE_MBOX_CMD_CNOC_CLK_CTRL
271,TRACE_MBOX_CMD_CNOC_HEADER_SETUP
272,TRACE_MBOX_CMD_CNOC_TEMPLATE_CONFIG
273,TRACE_MBOX_CMD_SEND_UNICAST_PACKET
274,TRACE_MBOX_CMD_CNT_CMD_BROADCAST
275,TRACE_MBOX_CMD_CRAM_S4SWIZZLE
276,TRACE_MBOX_CMD_READ_CRAM_LFSR
277,TRACE_MBOX_CMD_CRAM_READ_LABROW
278,TRACE_MBOX_CMD_ERAM_READ_MULTI
279,TRACE_MBOX_CMD_M20K_REDUNDNCY
280,TRACE_MBOX_CMD_AES_ECB_ENCRYPT
281,TRACE_MBOX_CMD_DTS_TEMP_INIT
282,TRACE_MBOX_CMD_DTS_GET_TEMP
283,TRACE_MBOX_CMD_DTS_SET_CAL
284,TRACE_MBOX_CMD_PWRTRIM_REDUNDANCY
285,TRACE_MBOX_CMD_BIASGEN
286,TRACE_MBOX_CMD_VADC_INIT
287,TRACE_MBOX_CMD_VADC_READ
288,TRACE_MBOX_CMD_SEND_FORCE_VCCL_SETUP
289,TRACE_MBOX_CMD_HVQK_EN
290,TRACE_MBOX_CMD_USER_CLOCKGATE
291,TRACE_MBOX_CMD_CORE_INTERFACE_DISABLE_SETUP
292,TRACE_MBOX_CMD_CRYPTO_BYPASS
293,TRACE_MBOX_CMD_SIGNED_NSP_HALT
294,TRACE_MBOX_CMD_CLR_ALL_DFX_BUFFERS
295,TRACE_MBOX_CMD_TOGGLE_ALMOST_EMPTY
296,TRACE_MBOX_CMD_TOGGLE_ALMOST_EMPTY_DOUBLE_PINS
297,TRACE_MBOX_CMD_CERTIFICATE_CMD
298,TRACE_MBOX_CMD_SERVICE_ROOT_KEY_CMD
299,TRACE_MBOX_CMD_TRIGGER_WDT_EXPIRY
300,TRACE_INFO_DFX
301,TRACE_CONFIG_STATE_POST_MSG_ERR
302,TRACE_CONFIG_STATE_POST_MSG
303,TRACE_CONFIG_STATE_POST_ERR
304,TRACE_CONFIG_STATE_ASYNC_EVENTS_RECVD
305,TRACE_CONFIG_STATE_CHECK_ASYNC_EVENTS_ERR
306,TRACE_CONFIG_STATE_BOOT
307,TRACE_CONFIG_STATE_PEND_ERR
308,TRACE_CONFIG_STATE_WIPE_CRYPTO_RESET
309,TRACE_CONFIG_STATE_EVENT_BUSY
310,TRACE_MBOX_CMD_QSPI_READ_SHA512_ERROR
311,TRACE_MBOX_CMD_QSPI_READ_SHA512_TIMEOUT
312,TRACE_MBOX_CMD_QSPI_READ_INFO
313,TRACE_PIN_TABLE_SKIPPED
314,TRACE_PIN_TABLE_ERROR
315,TRACE_CLOCK_CNOC_FULL_SPEED
316,TRACE_CLOCK_CNOC_HALF_SPEED
317,TRACE_CLOCK_EXACT_USER_CLK_ENABLE
318,TRACE_CLOCK_EXACT_USER_CLK_DISABLE
319,TRACE_SLOT_BAD_OFFSET
320,TRACE_SLOT_BAD_SIZE
321,TRACE_SLOT_TOO_MANY_PROVIDED
322,TRACE_SLOT_PR_MISSING_USED_TABLE
323,TRACE_SLOT_PR_NOT_PROVIDED_FOR
324,TRACE_SLOT_PR_USED_TABLE_W_DISABLED_PARENT
325,TRACE_SLOT_PR_POF_DISABLED
326,TRACE_SLOT_PROVIDED_CONTAINS_DISABLED_PLUS
327,TRACE_SLOT_PR_PROVIDED_CONTAINS_DISABLED
328,TRACE_SLOT_PR_PROVIDED_WHILE_DISABLED
329,TRACE_SLOT_TYPE_NOT_EXPECTED
330,TRACE_SLOT_NO_MATCH
331,TRACE_SLOT_MATCH
332,TRACE_SLOT_TABLE_WRONG
333,TRACE_SLOT_NO_PROVIDE
334,TRACE_SLOT_ASIC_TYPE_NOT_ENABLED
335,TRACE_SLOT_UPDATE_ENTRY
336,TRACE_SLOT_UPDATE_ENTRY_WRONG
337,TRACE_REDUNDANCY_INIT_ERROR
338,TRACE_GPIO_DEBOUNCE_ENABLE_FAIL
339,TRACE_GPIO_ISR_ERR
340,TRACE_CONFIG_STATE_IDLE
341,TRACE_CONFIG_STATE_CONFIGURE
342,TRACE_CONFIG_STATE_COMPLETE
343,TRACE_CONFIG_STATE_WIPE
344,TRACE_CONFIG_STATE_FATAL
345,TRACE_CONFIG_UNKNOWN_ASYNC_EVENT
346,TRACE_CONFIG_EVENT_RCVD
347,TRACE_CONFIG_STATE_EVENT_DROPPED
348,TRACE_CONFIG_EVENT_INJECTED
349,TRACE_CONFIG_EVENT_JTAG_CONFIG
350,TRACE_CONFIG_EVENT_CONFIG_MSEL
351,TRACE_CONFIG_EVENT_HPS_COLD_RESET
352,TRACE_CONFIG_EVENT_ANTI_TAMPER
353,TRACE_CONFIG_EVENT_ERROR
354,TRACE_CONFIG_EVENT_INTERRUPTION
355,TRACE_CONFIG_EVENT_PRECONFIG
356,TRACE_CONFIG_EVENT_PREWIPE
357,TRACE_CONFIG_EVENT_NCONFIG_ASSERT
358,TRACE_CONFIG_EVENT_NCONFIG_DEASSERT
359,TRACE_CONFIG_EVENT_NHPSRESET_ASSERT
360,TRACE_CONFIG_EVENT_NHPSRESET_DEASSERT
361,TRACE_CONFIG_EVENT_BOOT
362,TRACE_CONFIG_EVENT_RECONFIG
363,TRACE_CONFIG_EVENT_CVP
364,TRACE_CONFIG_EVENT_TRANSITION
365,TRACE_CONFIG_EVENT_RECONFIG_INTERRUPTION
366,TRACE_CONFIG_EVENT_VAB_BS_PREAUTH
367,TRACE_CONFIG_PR_CERTIFICATE_NOWIPE
368,TRACE_CONFIG_MAIN_HEADER_LOADED
369,TRACE_CONFIG_WIPE_DONE
370,TRACE_CONFIG_CNOC_INITIALIZED
371,TRACE_CONFIG_STATUS_DEADLOOP
372,TRACE_FPGA_READY
373,TRACE_FPGA_NOT_READY
374,TRACE_HPS_READY
375,TRACE_HPS_NOT_READY
376,TRACE_CVP_INIT__READY
377,TRACE_CVP_INIT_READY
378,TRACE_CVP_DONE
379,TRACE_CVP_INITIAL
380,TRACE_CVP_UPDATE
381,TRACE_CVP_ABORT
382,TRACE_NCONFIG_STATE_DEASSERTED
383,TRACE_NCONFIG_STATE_ASSERTED
384,TRACE_CONFIG_SET_SRC_JTAG
385,TRACE_CONFIG_SET_SRC_MSEL
386,TRACE_CONFIG_SET_SRC_FPGA
387,TRACE_CONFIG_SET_SRC_HPS
388,TRACE_CONFIG_SET_SRC_CVP
389,TRACE_CONFIG_SET_SRC_INVALID
390,TRACE_TIMESTAMP_MICROSECOND
391,TRACE_CONFIG_QSPI_DRVR
392,TRACE_MBOX_HW_MGR_HPS_FATAL
393,TRACE_MBOX_HW_MGR_HPS_INFO
394,TRACE_MBOX_HW_MGR_FPGA_ERROR
395,TRACE_MBOX_HW_MGR_FPGA_FATAL
396,TRACE_MBOX_HW_MGR_FPGA_INFO
397,TRACE_MBOX_HWAM_FPGA_INFO
398,TRACE_MBOX_HWAM_FPGA_FATAL
399,TRACE_HPS_CAL_STAT
400,TRACE_HPS_WARM_RESET_BY_SDM
401,TRACE_HPS_REBOOT_REQUEST
402,TRACE_HPS_RELEASE_REQUEST
403,TRACE_HPS_PSI_WARM_RESET_EXIT
404,TRACE_HPS_PSI_INT_WARMRST_EXIT
405,TRACE_CONFIG_HPS_MPU_RELEASE
406,TRACE_CONFIG_HPS_ERROR
407,TRACE_CONFIG_HPS_INFO
408,TRACE_CONFIG_HPS_RESUME_SIZE
409,TRACE_CONFIG_HPS_STREAM_RESPONSE
410,TRACE_CONFIG_HPS_STREAM_RESUME
411,TRACE_HPS_DOWNLOAD_ERROR
412,TRACE_HPS_RAM_REPAIR_ERROR
413,TRACE_PSI_INFO
414,TRACE_CONFIG_FPGA_STREAM_INFO
415,TRACE_CONFIG_FPGA_STREAM_ERROR
416,TRACE_TRANSITION_JUMPING_OUT_OF_OLD_CMF
417,TRACE_NEW_CMF
418,TRACE_CMF_RELOADED
419,TRACE_CMF_RELOAD_ERROR
420,TRACE_CMF_TRANSITION_FAIL
421,TRACE_SKIP_CMF
422,TRACE_SKIP_SECTION
423,TRACE_EFUSE_SELF_TEST_FAIL
424,TRACE_EFUSE_ERROR_HW_FAIL
425,TRACE_EFUSE_ERROR_SW_FAIL
426,TRACE_EFUSE_ERROR_POLICY_CHECK_FAIL
427,TRACE_FAIL_EFUSE_FORCE_PKI_SLCT_GET
428,TRACE_CNOC_RETURN_INTERRUPT
429,TRACE_CNOC_RETURN_INTERRUPT_ERROR_BAD_DATA_LEN
430,TRACE_SPURIOUS_CNOC_INTERRUPT
431,TRACE_CNOC_RETURN_INT
432,TRACE_CNOC_RETURN_INT_ECC
433,TRACE_ECC_ERROR
434,TRACE_UNDEFINED_SEU_ERR_TYPE
435,TRACE_MBOX_MSG_ALLOC_ERROR
436,TRACE_CMF_SIGMA
437,TRACE_AUTHENTICATION_FAILURE
438,TRACE_AUTH_PASS
439,TRACE_AUTH_FAIL
440,TRACE_AUTH_SDM_AUTH_FAIL
441,TRACE_AUTH_USER_AUTH_FAIL
442,TRACE_AUTH_INFO
443,TRACE_AUTH_INVALID_PARAM
444,TRACE_AUTH_SHA_FAIL
445,TRACE_AUTH_SHA_MISMATCH
446,TRACE_AUTH_INVALID_CERT
447,TRACE_AUTH_INVALID_PERMISSIONS
448,TRACE_AUTH_INVALID_KEYCHAIN
449,TRACE_AUTH_INVALID_ROOT_KEY
450,TRACE_AUTH_ROOT_KEY_FAIL
451,TRACE_AUTH_ROOT_KEY_SHA_MISMATCH
452,TRACE_AUTH_INVALID_PUBKEY
453,TRACE_AUTH_PUBKEY_FAIL
454,TRACE_AUTH_PUBKEY_CANCELLED
455,TRACE_AUTH_PUBKEY_VERIFY_FAIL
456,TRACE_AUTH_INVALID_DATA_BLOCK
457,TRACE_AUTH_DATA_BLOCK_FAIL
458,TRACE_AUTH_DATA_BLOCK_VERIFY_FAIL
459,TRACE_AUTH_INVALID_ENTRY
460,TRACE_AUTH_INVALID_SIGNATURE
461,TRACE_AUTH_VERIFY_SIG_FAIL
462,TRACE_DRIVER_PKC_INFO
463,TRACE_AUTH_SECTION_TYPE_NOT_ACCEPT
464,TRACE_AUTH_SECTION_TYPE_HPS_DEBUG
465,TRACE_AUTH_SECTION_TYPE_FPGA_DEBUG
466,TRACE_INFO_PKI_SLCT_VAL
467,TRACE_FORCE_PKI_SLCT_EFUSE_BLOWN
468,TRACE_ERROR_FAIL_EFUSE_FORCE_PKI_SLCT_GET
469,TRACE_INFO_JOINT_CMF_PKA_VAL
470,TRACE_ERROR_FAIL_EFUSE_JOINT_CMF_PKA_GET
471,TRACE_ERROR_INVALID_EFUSE_SETTING
472,TRACE_CMF_PARSING_EN_FUSE_USR_CANCELL_TABLE_SKIPPED
473,TRACE_CMF_PARSING_EN_FUSE_USR_CANCELL_TABLE
474,TRACE_CMF_EN_FUSE_USR_CANCELL_PARSE_ERROR
475,TRACE_MACST_DISABLE
476,TRACE_CNT_WARM_RESET_MCAST
477,TRACE_CNT_DEASSERT_TX_INT_MCAST
478,TRACE_ERROR_FLUSH_BUFFER
479,TRACE_BIG_HAMMER
480,TRACE_BIG_HAMMER_NOT_USED
481,TRACE_EMPTY_PREBUF
482,TRACE_KM_ERROR
483,TRACE_DIMK_GEN_MEK_ERR_TIMEOUT
484,TRACE_DIMK_GEN_MEK_ERR_CLEAR_UKV_SLOT
485,TRACE_DIMK_GEN_MEK_ERR_UKV_GET_KEY
486,TRACE_DIMK_GEN_MEK_ERR_UKV_PUT_KEY
487,TRACE_DIMK_GEN_MEK_KAD_WA_BEFORE_FAIL
488,TRACE_DIMK_GEN_MEK_FLOW_RUN_HW_FAIL
489,TRACE_DIMK_GEN_MEK_KAD_WA_AFTER_FAIL
490,TRACE_CMF_DIMK_FAILED
491,TRACE_CMF_DIMK_BOOTDIMK_FAILED
492,TRACE_CMF_DIMK_CONTEXT_FAILED
493,TRACE_CMF_AES_SUBSCRIBE
494,TRACE_CMF_AES_UNSUBSCRIBE
495,TRACE_CMF_AES_CRYPT
496,TRACE_CMF_AES_SET_KEY_EX
497,TRACE_CMF_AES_KEY_AS_DATA_1
498,TRACE_CMF_AES_KEY_AS_DATA_2
499,TRACE_CONFIG_CNOC_SCRAMBLE_INFO
500,TRACE_CONFIG_CNOC_SCRAMBLE_RATIO
501,TRACE_CONFIG_AES_SCRAMBLING_DISABLED
502,TRACE_CONFIG_AES_SCRAMBLING_ENABLED
503,TRACE_CNOC_SCRAMBLE_ERROR
504,TRACE_CNOC_SCRAMBLE_INIT
505,TRACE_CNOC_SCRAMBLE_FIFO_LEVEL
506,TRACE_CNOC_SCRAMBLE_FIFO_FILL_LEVEL
507,TRACE_CONFIG_AES_EFUSE_ROOT_INFO
